MSE,R2_Score,Training_Time,N_Qubits,N_layers,Circuit_Depth,embedding,dataset
0.006003722533469528,0.982345489183758,76.66433572769165,1,1,2,angle-X,0
0.15986101724071483,0.677129746227608,75.8867723941803,1,1,2,angle-X,1
0.006351900556735813,0.9824897947699152,76.30300807952881,1,1,2,angle-X,2
0.1350047181789022,0.047745920613557646,76.08494520187378,1,1,2,angle-X,3
0.03183873289071826,0.7428170095078211,76.01045179367065,1,1,2,angle-X,4
0.08349973898262973,0.6055038432533127,76.03460550308228,1,1,2,angle-X,5
0.006050544984595056,0.9822078033621313,76.0282552242279,1,1,2,angle-X,6
0.3424471331599348,0.03072666284604797,75.90823864936829,1,1,2,angle-X,7
0.010355114259697564,0.9688265735620886,75.90129923820496,1,1,2,angle-X,8
0.013536512990684172,0.9590894126018107,76.29025864601135,1,1,2,angle-X,9
0.005888700020724864,0.9826837237014329,111.64587092399597,2,1,3,angle-X,0
0.1599635597021321,0.6769226418871521,111.27544856071472,2,1,3,angle-X,1
0.006561892951280803,0.9819109113487413,111.46547150611877,2,1,3,angle-X,2
0.1347412172805813,0.04960452088125755,111.51001977920532,2,1,3,angle-X,3
0.031014821359966277,0.7494723004739248,111.32442855834961,2,1,3,angle-X,4
0.08365747258926158,0.6047586277309145,111.51236009597778,2,1,3,angle-X,5
0.006057963774772179,0.9821859877118085,111.42869520187378,2,1,3,angle-X,6
0.3421097494487089,0.0316816045115359,111.47687292098999,2,1,3,angle-X,7
0.010351558660166755,0.9688372774729906,111.42906045913696,2,1,3,angle-X,8
0.013363951201802417,0.959610935696458,114.19849801063538,2,1,3,angle-X,9
0.15158347813925016,0.5542545246796309,135.15624332427979,3,1,3,angle-X,0
0.12381836306807724,0.7499248597594279,146.97025871276855,3,1,3,angle-X,1
0.16115544252573336,0.5557447967949833,138.96955251693726,3,1,3,angle-X,2
0.14353389829526464,-0.012414543918245036,135.5331962108612,3,1,3,angle-X,3
0.08771391717635815,0.2914753358863905,135.46910429000854,3,1,3,angle-X,4
0.19751514778970972,0.06683580509750175,134.7339632511139,3,1,3,angle-X,5
0.15320888565965735,0.5494748609810076,135.25694346427917,3,1,3,angle-X,6
0.37058748635755046,-0.0489226944163621,134.97626280784607,3,1,3,angle-X,7
0.14263491862486183,0.5706064624960039,134.83992648124695,3,1,3,angle-X,8
