MSE,R2_Score,Training_Time,N_Qubits,N_layers,Circuit_Depth,embedding,dataset
0.0060243721770363015,0.9822847669645566,77.16491746902466,1,1,2,angle-X,0
0.16002036290936061,0.6768079168200312,76.87900757789612,1,1,2,angle-X,1
0.006422470519428121,0.9822952554318408,83.0834333896637,1,1,2,angle-X,2
0.13403406512588797,0.05459240969830825,87.88726949691772,1,1,2,angle-X,3
0.031561769368561386,0.7450542312945687,78.54155659675598,1,1,2,angle-X,4
0.08449322929279354,0.6008100787709324,76.5364236831665,1,1,2,angle-X,5
0.00591026029423746,0.9826203236892225,76.42885446548462,1,1,2,angle-X,6
0.34185181224888744,0.032411678225805596,76.86741352081299,1,1,2,angle-X,7
0.010343056669782575,0.9688628721854361,76.73912072181702,1,1,2,angle-X,8
0.013203019057397857,0.960097311217493,76.55422472953796,1,1,2,angle-X,9
0.006012232169235367,0.9823204657993772,112.76644849777222,2,1,3,angle-X,0
0.1598579995458035,0.6771358410463365,112.27689099311829,2,1,3,angle-X,1
0.006139408543159972,0.9830755688597695,112.63379502296448,2,1,3,angle-X,2
0.13506527870754056,0.04731875768752358,112.25626635551453,2,1,3,angle-X,3
0.03180932093813791,0.7430545897515699,113.31532907485962,2,1,3,angle-X,4
0.08192757204830738,0.6129315768116586,112.81382060050964,2,1,3,angle-X,5
0.006091965953379242,0.9820860011073897,112.4913215637207,2,1,3,angle-X,6
0.34200766971209334,0.03197053426852403,112.54426693916321,2,1,3,angle-X,7
0.010239456326307265,0.9691747545659947,112.36155462265015,2,1,3,angle-X,8
0.013313381205140478,0.9597637703496354,112.71150207519531,2,1,3,angle-X,9
0.1533437127491126,0.5490783892427086,135.84751343727112,3,1,3,angle-X,0
0.12381879871519232,0.7499239798857913,135.89612770080566,3,1,3,angle-X,1
0.15983346698402534,0.5593890703218907,136.26565313339233,3,1,3,angle-X,2
0.14343380141717055,-0.011708511849257475,136.24036026000977,3,1,3,angle-X,3
0.08904710600123579,0.2807062675930748,135.9104039669037,3,1,3,angle-X,4
0.19761142025995893,0.06638096392103154,137.3845088481903,3,1,3,angle-X,5
0.1502075998516266,0.5583004241986823,136.2614974975586,3,1,3,angle-X,6
0.3765785648437055,-0.06588003490814165,136.3580620288849,3,1,3,angle-X,7
0.14432248501752512,0.5655261489927981,135.94463062286377,3,1,3,angle-X,8
0.15931291312869963,0.5185181840628224,136.21217608451843,3,1,3,angle-X,9
0.015668029338385788,0.9539266860049448,157.90501189231873,4,1,3,angle-X,0
0.2979444824131644,0.39824347231588886,158.13146948814392,4,1,3,angle-X,1
0.042316068391597454,0.8833478207901998,158.06708812713623,4,1,3,angle-X,2
0.13661099659720433,0.03641605601999809,157.78262209892273,4,1,3,angle-X,3
0.03684993147383489,0.7023381675269011,158.10338401794434,4,1,3,angle-X,4
0.16457834722325643,0.22244636624788972,157.94760537147522,4,1,3,angle-X,5
0.015676929825603883,0.9539005132851054,158.14910197257996,4,1,3,angle-X,6
0.3488552369792707,0.012588960490409251,158.16593623161316,4,1,3,angle-X,7
0.023700886264824552,0.9286499582756519,157.4764325618744,4,1,3,angle-X,8
0.0592162216865263,0.8210343820181459,157.98736667633057,4,1,3,angle-X,9
0.19093162266056332,0.4385476046516109,187.12744402885437,5,1,3,angle-X,0
0.28699748683754567,0.42035304787440775,185.82079553604126,5,1,3,angle-X,1
0.19343038259857212,0.4667728710829543,186.28081798553467,5,1,3,angle-X,2
0.14230144808915512,-0.003721471911285912,186.20768761634827,5,1,3,angle-X,3
0.06540059627168199,0.4717151280217492,186.22793078422546,5,1,3,angle-X,4
0.2423361611805392,-0.14492195294593757,186.50478720664978,5,1,3,angle-X,5
0.22637587021598063,0.3343204608500373,186.04008746147156,5,1,3,angle-X,6
0.361616471745853,-0.02353084724246335,186.1090965270996,5,1,3,angle-X,7
0.18079325096933188,0.45573317993229645,186.2442135810852,5,1,3,angle-X,8
0.152654583379193,0.5386412527830029,185.8381929397583,5,1,3,angle-X,9
0.005959354073313236,0.9824759588141185,91.61717748641968,1,2,3,angle-X,0
0.16002978052458172,0.6767888961239987,91.7969720363617,1,2,3,angle-X,1
0.006250329680009606,0.9827697939419724,91.74583673477173,1,2,3,angle-X,2
0.1345896962701847,0.05067327241979058,91.85287237167358,1,2,3,angle-X,3
0.030275391013365724,0.7554451797481134,92.01866555213928,1,2,3,angle-X,4
0.08571366102392089,0.5950441250881119,91.65853905677795,1,2,3,angle-X,5
0.0059393335654282335,0.9825348310006714,91.85914039611816,1,2,3,angle-X,6
0.3416268052017053,0.03304854538101554,91.73539996147156,1,2,3,angle-X,7
0.010303884699237525,0.9689807969626612,92.05911755561829,1,2,3,angle-X,8
0.013104244047437298,0.960395832977161,92.00115919113159,1,2,3,angle-X,9
0.0002057622286131125,0.9993949368128902,150.9846339225769,2,2,5,angle-X,0
0.04568308325830153,0.9077341747268918,150.8788673877716,2,2,5,angle-X,1
0.004287021064699206,0.9881820223729768,150.90356993675232,2,2,5,angle-X,2
0.1432214307240264,-0.010210557839823275,151.0177125930786,2,2,5,angle-X,3
0.010954336632080383,0.9115144103389317,151.27899289131165,2,2,5,angle-X,4
0.05099600517139697,0.7590683720132905,152.68112206459045,2,2,5,angle-X,5
0.0001968913070468354,0.9994210225921494,153.52515983581543,2,2,5,angle-X,6
0.3649995436919041,-0.033106402466777096,158.53653407096863,2,2,5,angle-X,7
0.0075348127124080875,0.977316915687944,155.82640767097473,2,2,5,angle-X,8
0.015913354636706414,0.9519060273416504,151.82726097106934,2,2,5,angle-X,9
0.1489433349187939,0.5620181141496854,197.5293128490448,3,2,5,angle-X,0
0.035914210040486186,0.927464304244065,197.6551423072815,3,2,5,angle-X,1
0.15765975396456755,0.5653813179558135,197.03146052360535,3,2,5,angle-X,2
0.14340661464997878,-0.011516750329268355,198.90167331695557,3,2,5,angle-X,3
0.0865684584979417,0.30072798075173457,197.4448652267456,3,2,5,angle-X,4
0.16813734740102465,0.20563180000975556,197.05656504631042,3,2,5,angle-X,5
0.15174839801348183,0.5537695622771872,197.5298752784729,3,2,5,angle-X,6
0.3528052596808963,0.0014086896833225282,197.7051043510437,3,2,5,angle-X,7
0.139619661599842,0.5796837059433975,197.16137290000916,3,2,5,angle-X,8
0.15950548419416236,0.517936188137476,197.29914116859436,3,2,5,angle-X,9
0.015183434124585202,0.9553516838118633,238.5360746383667,4,2,5,angle-X,0
0.2964161097990152,0.4013303165153478,238.51779675483704,4,2,5,angle-X,1
0.010919773139506208,0.9698975972575709,237.721111536026,4,2,5,angle-X,2
0.12936436685084887,0.08753006766976668,238.30268239974976,4,2,5,angle-X,3
0.01771616215702644,0.856894569918117,239.30694341659546,4,2,5,angle-X,4
0.057146824497096196,0.7300087053077889,238.18025469779968,4,2,5,angle-X,5
0.015588805387767175,0.9541596514834966,238.26185536384583,4,2,5,angle-X,6
0.3324246738349678,0.05909455282299081,237.64808177947998,4,2,5,angle-X,7
0.012918263027186617,0.9611103738612582,238.06202173233032,4,2,5,angle-X,8
0.01819521714491663,0.9450096918055318,238.36819219589233,4,2,5,angle-X,9
0.11898392384850352,0.6501165803662818,278.6714086532593,5,2,5,angle-X,0
0.11034435090510752,0.7771382342360814,278.45033955574036,5,2,5,angle-X,1
0.16495820416076346,0.5452617711122437,278.9628953933716,5,2,5,angle-X,2
0.14090273613414417,0.006144325247601223,278.6548833847046,5,2,5,angle-X,3
0.06999389289428143,0.4346119629657639,279.34886169433594,5,2,5,angle-X,4
0.18676144515019114,0.11764188441913048,278.4385418891907,5,2,5,angle-X,5
0.12962597580260157,0.6188226256101717,278.7204978466034,5,2,5,angle-X,6
0.3445104957616859,0.02488645523121613,279.81294536590576,5,2,5,angle-X,7
