MSE,R2_Score,Training_Time,N_Qubits,N_layers,Circuit_Depth,embedding,dataset
0.02257036711454651,0.9336297125443533,79.07951307296753,1,1,2,angle-Z,0
0.16005932676918747,0.6767292217664942,77.50735116004944,1,1,2,angle-Z,1
0.006234930134421925,0.9828122456776823,77.24737024307251,1,1,2,angle-Z,2
0.21967051620605196,-0.5494432194654102,76.8381085395813,1,1,2,angle-Z,3
0.03173263872384589,0.74367400388645,77.07227730751038,1,1,2,angle-Z,4
0.05332836820416472,0.7480490770576939,82.92891716957092,1,1,2,angle-Z,5
0.022547092426358967,0.9336981539541722,83.30874633789062,1,1,2,angle-Z,6
0.5217526436225389,-0.47678539862889013,84.11581206321716,1,1,2,angle-Z,7
0.030763947956118493,0.9073870510263394,77.77626347541809,1,1,2,angle-Z,8
0.011985338030909214,0.9637774351971001,80.11604428291321,1,1,2,angle-Z,9
0.022570931502393653,0.9336280529088028,112.86030316352844,2,1,3,angle-Z,0
0.1599874681494265,0.6768743541521027,114.4899353981018,2,1,3,angle-Z,1
0.0062751816298633025,0.9827012848810356,113.56142091751099,2,1,3,angle-Z,2
0.14772107769988213,-0.0419487611141669,112.83729362487793,2,1,3,angle-Z,3
0.030528349800901182,0.753401860446653,113.24200439453125,2,1,3,angle-Z,4
0.053987946376345096,0.7449328870292042,113.16012477874756,2,1,3,angle-Z,5
0.022543935069222303,0.9337074384598116,113.40282702445984,2,1,3,angle-Z,6
0.3780937740079732,-0.07016873147156155,113.4597156047821,2,1,3,angle-Z,7
0.03101124289662536,0.9066425850124431,112.93466901779175,2,1,3,angle-Z,8
0.012113416076523083,0.9633903526388016,112.90593194961548,2,1,3,angle-Z,9
0.14886770016721196,0.5622405252508719,136.2881350517273,3,1,3,angle-Z,0
0.12381803592869849,0.7499255204806974,136.14106464385986,3,1,3,angle-Z,1
0.1590624503303017,0.5615145223376967,137.36131834983826,3,1,3,angle-Z,2
0.2625404158645788,-0.8518255167909214,136.6964237689972,3,1,3,angle-Z,3
0.07992384191624233,0.35440104522389326,136.517103433609,3,1,3,angle-Z,4
0.1526953919954052,0.2785876216014598,136.48275518417358,3,1,3,angle-Z,5
0.14881928253336751,0.5623829018573253,136.35117530822754,3,1,3,angle-Z,6
0.44755005548869414,-0.2667600158426906,136.04338479042053,3,1,3,angle-Z,7
0.14098355520081196,0.5755777892173548,136.8370282649994,3,1,3,angle-Z,8
0.14823404128979967,0.5520011907241815,136.40447783470154,3,1,3,angle-Z,9
0.01527169491469798,0.9550921446567793,158.78492617607117,4,1,3,angle-Z,0
0.1461657429535971,0.7047900023731446,159.02089762687683,4,1,3,angle-Z,1
0.036056909930182096,0.900602365040075,158.5621852874756,4,1,3,angle-Z,2
0.15956199827030987,-0.12546854522970263,158.3882441520691,4,1,3,angle-Z,3
0.03800123510572028,0.6930383090171703,158.97026419639587,4,1,3,angle-Z,4
0.0834470071721764,0.6057529757274449,223.03231859207153,4,1,3,angle-Z,5
0.015244371415774047,0.9551724919753971,315.2741734981537,4,1,3,angle-Z,6
0.33005695270996127,0.0657962265532046,296.44832015037537,4,1,3,angle-Z,7
0.02378928393356835,0.9283838426003674,310.94372606277466,4,1,3,angle-Z,8
0.0678523450359856,0.7949339468977611,307.6136827468872,4,1,3,angle-Z,9
0.14781241886772542,0.5653436791711441,358.8702492713928,5,1,3,angle-Z,0
0.14641111395464862,0.7042944281628378,265.4285218715668,5,1,3,angle-Z,1
0.1478133809018118,0.5925246920626387,186.5438253879547,5,1,3,angle-Z,2
0.14844047149621167,-0.047022996196323996,190.0966761112213,5,1,3,angle-Z,3
0.06441874284535115,0.4796462225560537,187.09815621376038,5,1,3,angle-Z,4
0.12260085934479292,0.4207698321617105,187.09773468971252,5,1,3,angle-Z,5
0.147798952763921,0.5653832775159948,187.3077232837677,5,1,3,angle-Z,6
0.3711544869012126,-0.05052755092093353,187.00520539283752,5,1,3,angle-Z,7
0.1412270874665344,0.5748446505015123,187.63868284225464,5,1,3,angle-Z,8
0.1314496699783163,0.602727584584599,187.85082268714905,5,1,3,angle-Z,9
0.006135602645790296,0.9819576833089136,93.695871591568,1,2,3,angle-Z,0
0.16005810708575552,0.6767316851531658,92.71594023704529,1,2,3,angle-Z,1
0.005995811066744302,0.983471422236267,92.8319628238678,1,2,3,angle-Z,2
0.13493101727063886,0.04826576904178248,92.76696681976318,1,2,3,angle-Z,3
0.030530101732700977,0.7533877089079923,92.30392384529114,1,2,3,angle-Z,4
0.0853733501224303,0.5966519306258629,94.40718460083008,1,2,3,angle-Z,5
0.022543082640593043,0.933709945106375,92.48082113265991,1,2,3,angle-Z,6
0.33903689639230117,0.04037910625168628,92.40037441253662,1,2,3,angle-Z,7
0.010270110751860108,0.9690824713273937,92.80781292915344,1,2,3,angle-Z,8
0.012399435387790583,0.9625259337120637,93.08444786071777,1,2,3,angle-Z,9
0.0008484295600873808,0.9975051130757826,152.30190873146057,2,2,5,angle-Z,0
0.045431344405450186,0.9082426100459421,151.77266597747803,2,2,5,angle-Z,1
0.0013470863544658986,0.9962865038080089,151.44634747505188,2,2,5,angle-Z,2
0.14023133967612147,0.010880011708503168,152.16857433319092,2,2,5,angle-Z,3
0.009936562347731192,0.9197356619507152,151.69102954864502,2,2,5,angle-Z,4
0.034236889205304016,0.8382471445418018,152.4314091205597,2,2,5,angle-Z,5
0.0005287131627063614,0.998445269214616,151.61409187316895,2,2,5,angle-Z,6
0.3662907017511609,-0.03676093760433541,154.05657172203064,2,2,5,angle-Z,7
0.008377111018128758,0.9747812291070286,152.461359500885,2,2,5,angle-Z,8
0.005052131051518991,0.9847312488029587,161.0193634033203,2,2,5,angle-Z,9
0.14888704821641108,0.5621836304923358,212.5666573047638,3,2,5,angle-Z,0
0.12383392921836622,0.7498934209072249,216.31630873680115,3,2,5,angle-Z,1
0.15980107207562042,0.559478372962811,222.4740481376648,3,2,5,angle-Z,2
0.1438523906800779,-0.0146610259433404,213.3215823173523,3,2,5,angle-Z,3
0.08984853298578623,0.27423259952169565,220.55009245872498,3,2,5,angle-Z,4
0.1803776164954293,0.14780240827605917,194.89616799354553,3,2,5,angle-Z,5
0.14882297882724177,0.5623720325575169,195.33075332641602,3,2,5,angle-Z,6
0.3539648842031033,-0.001873548716845752,196.5424919128418,3,2,5,angle-Z,7
0.1409108267893495,0.5757967335696634,199.92789340019226,3,2,5,angle-Z,8
0.14973921888260627,0.5474521831989283,202.99561882019043,3,2,5,angle-Z,9
0.003853239943970402,0.988669185511295,257.2711691856384,4,2,5,angle-Z,0
0.05162953260338279,0.8957241697724002,268.5341682434082,4,2,5,angle-Z,1
0.004206147338828156,0.9884049659667996,266.7049472332001,4,2,5,angle-Z,2
0.12214476175393209,0.13845346129507574,279.75658106803894,4,2,5,angle-Z,3
0.04231319773886292,0.6582076689697631,271.98525762557983,4,2,5,angle-Z,4
0.10296032240080276,0.5135619346910043,277.5305988788605,4,2,5,angle-Z,5
0.014374828921862412,0.9577294634673947,278.55755496025085,4,2,5,angle-Z,6
0.31273492095287087,0.11482506020864758,278.9900255203247,4,2,5,angle-Z,7
0.00941220947499954,0.9716651296809853,286.96634817123413,4,2,5,angle-Z,8
0.0072594418637105815,0.9780602263646633,267.549099445343,4,2,5,angle-Z,9
