Dataset_Index,MSE,R2_Score,Training_Time,N_Qubits,N_layers,Circuit_Depth,Embedding_Time
0,0.23829497179796202,0.29927122154460684,730.3400635719299,4,4,9,115.73477053642273
1,0.3672795173507083,0.25820795451423584,669.634762763977,4,4,9,115.73477053642273
2,0.25202350345194163,0.30524994388194926,660.1725387573242,4,4,9,115.73477053642273
3,0.0971406470664318,0.31481966933431116,713.7074136734009,4,4,9,115.73477053642273
4,0.05416812159011775,0.5624474269215753,718.1939890384674,4,4,9,115.73477053642273
5,0.09565425740752297,0.5480795822418543,716.9042816162109,4,4,9,115.73477053642273
6,0.2213113723201298,0.3492130932764502,713.4159977436066,4,4,9,115.73477053642273
7,0.1959145906462372,0.44547706584495994,711.6628642082214,4,4,9,115.73477053642273
8,0.22154910504199266,0.3330402200107273,710.9355099201202,4,4,9,115.73477053642273
9,0.24593085592122385,0.2567379958190976,712.3299057483673,4,4,9,115.73477053642273
0,0.15614839299460254,0.5408309631742877,870.7263035774231,4,5,11,135.26491618156433
1,0.22805643482415494,0.5393959061624908,869.8097012042999,4,5,11,135.26491618156433
2,0.20645295798331154,0.4308736995555871,871.5713741779327,4,5,11,135.26491618156433
3,0.1174702172814798,0.17142530185895377,872.3077538013458,4,5,11,135.26491618156433
4,0.05470383478431702,0.5581201089405746,873.5948212146759,4,5,11,135.26491618156433
5,0.12196331643590225,0.42378191615601846,893.2018642425537,4,5,11,135.26491618156433
6,0.1643486234994594,0.5167174140659463,881.7616498470306,4,5,11,135.26491618156433
7,0.1408171863064131,0.6014265243210517,886.2762367725372,4,5,11,135.26491618156433
8,0.1662116580449306,0.49963015711443615,897.8025481700897,4,5,11,135.26491618156433
9,0.1848742275506881,0.44126576400508455,893.245796918869,4,5,11,135.26491618156433
0,0.18934939590533023,0.44320029124868254,888.8098700046539,5,4,9,139.2902009487152
1,0.3701954153189931,0.2523187344076424,889.7487409114838,5,4,9,139.2902009487152
2,0.2745529750346784,0.24314322989683423,892.5228250026703,5,4,9,139.2902009487152
3,0.12284680841100185,0.1335015840412127,894.7756719589233,5,4,9,139.2902009487152
4,0.05028829856589547,0.5937873829234295,895.166633605957,5,4,9,139.2902009487152
5,0.09494718698703507,0.5514201503302141,893.558892250061,5,4,9,139.2902009487152
6,0.20388092093555574,0.4004689750706927,893.892329454422,5,4,9,139.2902009487152
7,0.18643531249287335,0.4723075184311418,897.1973299980164,5,4,9,139.2902009487152
8,0.18422289174698098,0.44540846001041057,893.9714601039886,5,4,9,139.2902009487152
9,0.24203707802749677,0.26850592607854395,896.3803863525391,5,4,9,139.2902009487152
0,0.17203419480693086,0.4941172687360549,1099.1063532829285,5,5,11,165.47763776779175
