Dataset_Index,MSE,R2_Score,Training_Time,N_Qubits,N_layers,Circuit_Depth,Embedding_Time
0,0.34008356749836816,-4.771828728045158e-05,91.48147225379944,1,1,2,19.11141800880432
1,0.49512464737139417,-2.0674542078324976e-08,90.76634097099304,1,1,2,19.11141800880432
2,0.39298449926474077,-0.08333547934256869,91.11578750610352,1,1,2,19.11141800880432
3,0.14338617618484423,-0.011372587872849893,90.74472117424011,1,1,2,19.11141800880432
4,0.13615042173450545,-0.09977908790017587,90.49110746383667,1,1,2,19.11141800880432
5,0.26071555820619563,-0.23175577516245105,90.85313749313354,1,1,2,19.11141800880432
6,0.34009247481076044,-7.391107718635048e-05,89.64440250396729,1,1,2,19.11141800880432
7,0.3533845143269962,-0.0002308512253903494,88.63644504547119,1,1,2,19.11141800880432
8,0.3321943127639759,-5.0285523627957573e-05,88.37848925590515,1,1,2,19.11141800880432
9,0.39815002104282193,-0.2033048130395967,88.52857041358948,1,1,2,19.11141800880432
0,0.18220178643421023,0.4642185091984117,116.73755669593811,1,2,3,20.924172401428223
1,0.11392369198902617,0.7699090623963789,117.24716114997864,1,2,3,20.924172401428223
2,0.21029205129173753,0.42029051880086044,117.49578905105591,1,2,3,20.924172401428223
3,0.1337730274540791,0.056433635628828305,117.06468987464905,1,2,3,20.924172401428223
4,0.06868009182234668,0.44522442325907263,117.36266231536865,1,2,3,20.924172401428223
5,0.13809228566707396,0.34758028425263665,116.60118293762207,1,2,3,20.924172401428223
6,0.2010104267402208,0.4089099332490539,115.4404067993164,1,2,3,20.924172401428223
7,0.345190737683492,0.02296107670187375,115.52410387992859,1,2,3,20.924172401428223
8,0.17439908888946298,0.47498240656851687,115.35669302940369,1,2,3,20.924172401428223
9,0.1942011145857452,0.4130776754284077,115.5841794013977,1,2,3,20.924172401428223
0,0.3401074061866016,-0.00011781819228384727,141.38632822036743,1,3,4,24.36583423614502
1,0.4951247119713256,-1.5114660212312003e-07,141.0663902759552,1,3,4,24.36583423614502
2,0.39193345128985263,-0.08043806846804857,141.19248294830322,1,3,4,24.36583423614502
3,0.14339706572996816,-0.011449397142235362,141.57498979568481,1,3,4,24.36583423614502
4,0.13632481324346568,-0.1011877661269378,141.36672925949097,1,3,4,24.36583423614502
5,0.2603522486287766,-0.2300393119285853,141.30964064598083,1,3,4,24.36583423614502
